日期,特定五大買,特定五大賣,特定五大淨,外資淨額,投信淨額,大外資,小外資
2026/02/02,0,754,-754,-745,2,-756,11
2026/02/03,0,654,-654,-646,2,-656,10
2026/02/04,0,960,-960,-987,2,-962,-25
2026/02/05,0,767,-767,-777,2,-769,-8
2026/02/06,0,732,-732,-754,2,-734,-20
2026/02/09,0,684,-684,-700,2,-686,-14
2026/02/10,0,677,-677,-696,2,-679,-17
2026/02/11,0,624,-624,-642,2,-626,-16
2026/02/23,0,470,-470,-545,2,-472,-73
2026/02/24,0,623,-623,-636,2,-625,-11
2026/02/25,0,586,-586,-622,2,-588,-34
2026/02/26,0,753,-753,-765,2,-755,-10
2026/03/02,0,667,-667,-665,2,-669,4
2026/03/03,0,515,-515,-507,2,-517,10
2026/03/04,0,489,-489,-492,2,-491,-1
2026/03/05,0,442,-442,-421,2,-444,23
2026/03/06,0,449,-449,-458,2,-451,-7
2026/03/09,0,345,-345,-411,2,-347,-64
2026/03/10,0,390,-390,-392,2,-392,0
2026/03/11,0,460,-460,-444,2,-462,18
2026/03/12,0,491,-491,-472,2,-493,21
2026/03/13,0,562,-562,-535,2,-564,29
2026/03/16,0,550,-550,-531,2,-552,21
2026/03/17,0,505,-505,-485,2,-507,22
2026/03/18,0,507,-507,-488,2,-509,21
2026/03/19,0,560,-560,-542,2,-562,20
2026/03/20,0,533,-533,-195,0,-533,338
2026/03/23,0,354,-354,-371,1,-355,-16
2026/03/24,51,328,-277,-285,1,-278,-7
2026/03/25,63,405,-342,-356,1,-343,-13
2026/03/26,58,467,-409,-420,1,-410,-10
2026/03/27,0,546,-546,-523,1,-547,24
2026/03/30,0,529,-529,-576,1,-530,-46
2026/03/31,0,527,-527,-528,1,-528,0
2026/04/01,0,381,-381,-375,1,-382,7
2026/04/02,0,395,-395,-406,1,-396,-10
2026/04/07,0,340,-340,-327,1,-341,14
2026/04/08,65,414,-349,-348,1,-350,2
2026/04/09,0,393,-393,-380,1,-394,14
2026/04/10,0,463,-463,-473,1,-464,-9
2026/04/13,0,391,-391,-398,1,-392,-6
2026/04/14,0,383,-383,-384,1,-384,0
2026/04/15,0,348,-348,-348,1,-349,1
2026/04/16,0,289,-289,-276,1,-290,14
2026/04/17,0,184,-184,-165,1,-185,20
2026/04/20,0,200,-200,-153,1,-201,48
2026/04/21,0,224,-224,-180,1,-225,45
2026/04/22,0,246,-246,-208,1,-247,39
2026/04/23,0,217,-217,-180,1,-218,38
2026/04/24,0,308,-308,-272,1,-309,37
2026/04/27,0,294,-294,-260,1,-295,35
2026/04/28,0,309,-309,-278,1,-310,32
2026/04/29,0,333,-333,-307,1,-334,27
2026/04/30,36,326,-290,-286,1,-291,5
2026/05/04,48,374,-326,-346,1,-327,-19
2026/05/05,36,319,-283,-316,1,-284,-32
2026/05/06,36,312,-276,-310,1,-277,-33
2026/05/07,36,337,-301,-331,1,-302,-29
2026/05/08,48,277,-229,-293,1,-230,-63
2026/05/11,48,121,-73,-158,1,-74,-84
2026/05/12,40,164,-124,-202,1,-125,-77
2026/05/13,0,250,-250,-265,1,-251,-14
2026/05/14,0,234,-234,-241,1,-235,-6
2026/05/15,0,280,-280,-291,1,-281,-10
2026/05/18,47,349,-302,-267,1,-303,36
2026/05/19,46,344,-298,-301,1,-299,-2
2026/05/20,46,382,-336,-341,1,-337,-4
2026/05/21,86,369,-283,-291,1,-284,-7
2026/05/22,46,454,-408,-403,1,-409,6
2026/05/25,46,426,-380,-369,1,-381,12
2026/05/28,46,503,-457,-428,1,-458,30
